Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003953~NAD+ nucleosidase activity	4	4.597701149425287	2.6242196869409677E-4	TLR9, MYD88, TLR3, TLR2	86	28	18967	31.506644518272427	0.07620198989843918	0.006096264195816709	0.005591606563712677
GOTERM_MF_DIRECT	GO:0019899~enzyme binding	9	10.344827586206897	3.361662849497622E-4	POR, CD40, PLG, PPARG, MAPK14, PTGS2, HIF1A, TP53, EGFR	86	386	18967	5.142276177852754	0.09655431417053717	0.007251587003916299	0.006651290066506009
GOTERM_MF_DIRECT	GO:0038023~signaling receptor activity	7	8.045977011494253	6.419751161562555E-4	CD40, MRC1, ITGB2, CD46, TLR3, SLAMF1, TLR2	86	234	18967	6.597545219638244	0.17629163992219943	0.012925099005279278	0.011855140478352184
GOTERM_MF_DIRECT	GO:0001784~phosphotyrosine binding	4	4.597701149425287	0.0012988581074958214	SOCS3, GRAP2, MAPK1, CRK	86	48	18967	18.378875968992247	0.3246404823440857	0.02451594677898363	0.02248648098602141
GOTERM_MF_DIRECT	GO:0002020~protease binding	5	5.747126436781609	0.0016687981744080674	CASP3, CD28, PLG, TNF, TP53	86	113	18967	9.758695204774645	0.39613102602595907	0.029645708745366844	0.027191593783002038
GOTERM_MF_DIRECT	GO:0004888~transmembrane signaling receptor activity	6	6.896551724137931	0.0020555120406716317	MRC1, TLR9, EGFR, TLR3, SLAMF1, TLR2	86	200	18967	6.61639534883721	0.46281004133576353	0.03448692423793515	0.031632046403669
GOTERM_MF_DIRECT	GO:0005123~death receptor binding	3	3.4482758620689653	0.0022865320716644174	CASP3, FASLG, MYD88	86	16	18967	41.352470930232556	0.49908725447677904	0.0345266342821327	0.03166846919255218
GOTERM_MF_DIRECT	GO:0005159~insulin-like growth factor receptor binding	3	3.4482758620689653	0.0022865320716644174	SOCS1, REN, CRK	86	16	18967	41.352470930232556	0.49908725447677904	0.0345266342821327	0.03166846919255218
GOTERM_MF_DIRECT	GO:0005507~copper ion binding	4	4.597701149425287	0.002472415937090107	IL1A, ALB, MTCO2P12, TP53	86	60	18967	14.703100775193798	0.5264956484305152	0.03555569585720059	0.032612343551140933
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	17	19.54022988505747	0.0040904706050586374	CRP, CFH, ARG1, HGF, TNF, HLA-G, EGFR, PIK3CG, ALB, CD28, MAPK1, PPARG, TP53, MYD88, TLR3, SLAMF1, TLR2	86	1736	18967	2.1597296645589967	0.7099945485665494	0.056151005578532205	0.05150274352732921
GOTERM_MF_DIRECT	GO:0000976~transcription regulatory region sequence-specific DNA binding	6	6.896551724137931	0.004333766202874302	PPARG, HMGB1, TNF, TP53, GABPA, NFE2L2	86	238	18967	5.55999609145984	0.7306225235063951	0.05634438787386312	0.05168011735450358
GOTERM_MF_DIRECT	GO:0043621~protein self-association	4	4.597701149425287	0.004477699698585148	PPARG, TP53, CRK, MYD88	86	74	18967	11.921433060967946	0.7421305670413653	0.05634438787386312	0.05168011735450358
GOTERM_MF_DIRECT	GO:0019904~protein domain specific binding	6	6.896551724137931	0.005507326745938577	CD40, IL1B, PLG, HIF1A, CRK, NFE2L2	86	252	18967	5.251107419712071	0.8113401253733493	0.06228843107303825	0.057132103997455615
GOTERM_MF_DIRECT	GO:0001618~virus receptor activity	4	4.597701149425287	0.005567097039490458	MRC1, CD46, EGFR, SLAMF1	86	80	18967	11.027325581395349	0.814733625184779	0.06228843107303825	0.057132103997455615
GOTERM_MF_DIRECT	GO:0038187~pattern recognition receptor activity	3	3.4482758620689653	0.0055688332416292475	TLR9, TLR3, TLR2	86	25	18967	26.46558139534884	0.8148312846264748	0.06228843107303825	0.057132103997455615
GOTERM_MF_DIRECT	GO:0005178~integrin binding	5	5.747126436781609	0.005815584256211201	CXCL12, IL1B, ITGB2, DMD, HMGB1	86	160	18967	6.892078488372093	0.82820155251364	0.06264348594678022	0.05745776691145073
GOTERM_MF_DIRECT	GO:0005126~cytokine receptor binding	3	3.4482758620689653	0.006015434080982206	IFNA1, IFNB1, IL15	86	26	18967	25.44767441860465	0.8383217624095203	0.06264348594678022	0.05745776691145073
GOTERM_MF_DIRECT	GO:0051087~chaperone binding	4	4.597701149425287	0.013287779310301588	ALB, AHSA1, PLG, TP53	86	110	18967	8.019873150105708	0.982399170327323	0.12687758404471897	0.11637447278273892
GOTERM_MF_DIRECT	GO:0031625~ubiquitin protein ligase binding	6	6.896551724137931	0.013629196621527583	CD40, HIF1A, TP53, CRK, EGFR, NFE2L2	86	315	18967	4.200885935769657	0.984145848292448	0.12687758404471897	0.11637447278273892
GOTERM_MF_DIRECT	GO:0001530~lipopolysaccharide binding	3	3.4482758620689653	0.013864106865813661	HMGB1, F2, TLR2	86	40	18967	16.54098837209302	0.9852462145716087	0.12687758404471897	0.11637447278273892
GOTERM_MF_DIRECT	GO:0042056~chemoattractant activity	3	3.4482758620689653	0.013864106865813661	LGALS3, HGF, HMGB1	86	40	18967	16.54098837209302	0.9852462145716087	0.12687758404471897	0.11637447278273892
GOTERM_MF_DIRECT	GO:0070996~type 1 melanocortin receptor binding	2	2.2988505747126435	0.017807128399726913	POMC, AGRP	86	4	18967	110.2732558139535	0.9956002610193426	0.15816919931522141	0.14507572255071632
GOTERM_MF_DIRECT	GO:0016301~kinase activity	5	5.747126436781609	0.020438751944456834	PIK3CA, PIK3CD, PIK3CB, EGFR, PIK3CG	86	232	18967	4.7531575781876505	0.9980432202025024	0.17635723106359896	0.1617581225318441
GOTERM_MF_DIRECT	GO:0008009~chemokine activity	3	3.4482758620689653	0.021155485043480547	CXCL12, CXCL8, CCL2	86	50	18967	13.23279069767442	0.9984312964088903	0.17747101342030905	0.16277970436233644
GOTERM_MF_DIRECT	GO:0035325~Toll-like receptor binding	2	2.2988505747126435	0.0265928137196362	MYD88, TLR2	86	6	18967	73.51550387596899	0.9997082885074041	0.2170548579278414	0.19908674054970887
GOTERM_MF_DIRECT	GO:0030971~receptor tyrosine kinase binding	3	3.4482758620689653	0.035382406138467985	ARTN, TP53, CRK	86	66	18967	10.024841437632135	0.999981152054756	0.28119701720571927	0.2579191184304114
GOTERM_MF_DIRECT	GO:0002039~p53 binding	3	3.4482758620689653	0.042491542387943525	MUC1, HIF1A, TP53	86	73	18967	9.06355527237974	0.9999979813042739	0.3290370718245883	0.3017989036271886
GOTERM_MF_DIRECT	GO:0001851~complement component C3b binding	2	2.2988505747126435	0.0482186978180289	CFH, ITGB2	86	11	18967	40.09936575052854	0.9999996702194964	0.3624865243764412	0.33247936176249737
GOTERM_MF_DIRECT	GO:0004712~protein serine/threonine/tyrosine kinase activity	6	6.896551724137931	0.04921174668686784	PIK3CA, MAPK1, MAPK14, JAK3, EGFR, PIK3CG	86	444	18967	2.980358265241986	0.9999997593921066	0.3624865243764412	0.33247936176249737
GOTERM_MF_DIRECT	GO:0061629~RNA polymerase II sequence-specific DNA binding transcription factor binding	4	4.597701149425287	0.0517729877584751	HMGB1, HIF1A, TP53, NFE2L2	86	187	18967	4.7175724412386515	0.9999998934578317	0.3722724357871305	0.34145518116899054
GOTERM_MF_DIRECT	GO:0043560~insulin receptor substrate binding	2	2.2988505747126435	0.056735489487374446	PIK3CA, PIK3CB	86	13	18967	33.93023255813953	0.9999999781568418	0.3984678563996996	0.36548210669773773
GOTERM_MF_DIRECT	GO:0001540~beta-amyloid binding	3	3.4482758620689653	0.05812508583057874	TGFB2, ITGB2, TLR2	86	87	18967	7.605052125100241	0.9999999860055613	0.39894945274624494	0.3659238357970525
GOTERM_MF_DIRECT	GO:0016702~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	2	2.2988505747126435	0.06096559834895447	ALOX5, PTGS2	86	14	18967	31.506644518272427	0.9999999943789959	0.4091469044752056	0.37527712761467535
GOTERM_MF_DIRECT	GO:0045236~CXCR chemokine receptor binding	2	2.2988505747126435	0.06517695930200716	CXCL12, CXCL8	86	15	18967	29.406201550387596	0.999999998553624	0.4279009067218731	0.3924786462316518
GOTERM_MF_DIRECT	GO:0046935~1-phosphatidylinositol-3-kinase regulator activity	2	2.2988505747126435	0.06936965445087993	SOCS3, SOCS1	86	16	18967	27.568313953488374	0.9999999996278506	0.4364507425867863	0.4003207142269529
GOTERM_MF_DIRECT	GO:0004707~MAP kinase activity	2	2.2988505747126435	0.06936965445087993	MAPK1, MAPK14	86	16	18967	27.568313953488374	0.9999999996278506	0.4364507425867863	0.4003207142269529
GOTERM_MF_DIRECT	GO:0005132~type I interferon receptor binding	2	2.2988505747126435	0.07354376554617	IFNA1, IFNB1	86	17	18967	25.946648426812587	0.9999999999042536	0.45326973867231307	0.4157474093120222
GOTERM_MF_DIRECT	GO:0004708~MAP kinase kinase activity	2	2.2988505747126435	0.0818365608131827	MAPK1, MAPK14	86	19	18967	23.21542227662179	0.9999999999936636	0.4758867764584022	0.4364921757582033
GOTERM_MF_DIRECT	GO:0001216~bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding	2	2.2988505747126435	0.0818365608131827	HIF1A, TP53	86	19	18967	23.21542227662179	0.9999999999936636	0.4758867764584022	0.4364921757582033
GOTERM_MF_DIRECT	GO:0019900~kinase binding	3	3.4482758620689653	0.08194076945641363	PLG, CRK, EGFR	86	106	18967	6.241882404563405	0.9999999999938771	0.4758867764584022	0.4364921757582033
GOTERM_MF_DIRECT	GO:0038024~cargo receptor activity	2	2.2988505747126435	0.09820270066890792	MRC1, ITGB2	86	23	18967	19.177957532861477	0.9999999999999722	0.5495759710045911	0.5040812714181183
GOTERM_MF_DIRECT	GO:0003690~double-stranded DNA binding	3	3.4482758620689653	0.09826855110678119	PPARG, HMGB1, EGFR	86	118	18967	5.607114702404414	0.9999999999999729	0.5495759710045911	0.5040812714181183
